Date,Open,High,Low,Close,Adj Close,Volume
2019-11-25,640.000000,645.000000,612.500000,615.000000,591.654846,7220400
2019-11-26,615.000000,627.500000,602.500000,627.500000,603.680359,6021400
2019-11-27,627.500000,635.000000,617.500000,625.000000,601.275269,2841200
2019-11-28,625.000000,630.000000,620.000000,622.500000,598.870178,5712600
2019-11-29,625.000000,637.500000,625.000000,635.000000,610.895630,5021400
2019-12-02,637.500000,677.500000,635.000000,647.500000,622.921143,21884000
2019-12-03,647.500000,652.500000,630.000000,635.000000,610.895630,8243600
2019-12-04,637.500000,652.500000,632.500000,645.000000,620.516052,8401400
2019-12-05,645.000000,662.500000,632.500000,632.500000,608.490601,7093200
2019-12-06,632.500000,640.000000,605.000000,632.500000,608.490601,16881200
2019-12-09,632.500000,632.500000,620.000000,630.000000,606.085449,2811400
2019-12-10,635.000000,635.000000,620.000000,620.000000,596.465027,6406000
2019-12-11,620.000000,632.500000,617.500000,630.000000,606.085449,1257600
2019-12-12,630.000000,630.000000,622.500000,627.500000,603.680359,1874600
2019-12-13,630.000000,647.500000,625.000000,637.500000,613.300781,7753600
2019-12-16,637.500000,647.500000,635.000000,637.500000,613.300781,4028000
2019-12-17,640.000000,647.500000,637.500000,647.500000,622.921143,8067200
2019-12-18,647.500000,650.000000,635.000000,642.500000,618.110962,5716200
2019-12-19,642.500000,647.500000,642.500000,645.000000,620.516052,3043000
2019-12-20,645.000000,647.500000,630.000000,635.000000,610.895630,4742600
2019-12-23,637.500000,657.500000,632.500000,652.500000,627.731384,15282200
2019-12-26,655.000000,657.500000,640.000000,640.000000,615.705872,6736000
2019-12-27,640.000000,647.500000,635.000000,640.000000,615.705872,4712600
2019-12-30,640.000000,647.500000,637.500000,637.500000,613.300781,1768000
2020-01-02,637.500000,647.500000,632.500000,640.000000,615.705872,3078800
2020-01-03,640.000000,647.500000,630.000000,640.000000,615.705872,3688200
2020-01-06,640.000000,657.500000,632.500000,645.000000,620.516052,14759200
2020-01-07,645.000000,657.500000,640.000000,647.500000,622.921143,12680600
2020-01-08,650.000000,655.000000,642.500000,650.000000,625.326233,7201200
2020-01-09,652.500000,655.000000,642.500000,642.500000,618.110962,3909600
2020-01-10,650.000000,650.000000,640.000000,640.000000,615.705872,3198000
2020-01-13,640.000000,647.500000,632.500000,635.000000,610.895630,9435400
2020-01-14,640.000000,642.500000,630.000000,630.000000,606.085449,8269400
2020-01-15,632.500000,635.000000,630.000000,635.000000,610.895630,7001600
2020-01-16,635.000000,640.000000,630.000000,632.500000,608.490601,2861000
2020-01-17,632.500000,635.000000,625.000000,630.000000,606.085449,10239200
2020-01-20,632.500000,642.500000,630.000000,640.000000,615.705872,13572200
2020-01-21,642.500000,642.500000,620.000000,625.000000,601.275269,7377400
2020-01-22,625.000000,627.500000,617.500000,622.500000,598.870178,6918800
2020-01-23,622.500000,622.500000,612.500000,612.500000,589.249756,3364400
2020-01-24,612.500000,620.000000,612.500000,615.000000,591.654846,1668200
2020-01-27,615.000000,615.000000,592.500000,597.500000,574.819153,11479200
2020-01-28,597.500000,605.000000,592.500000,600.000000,577.224243,5480200
2020-01-29,600.000000,602.500000,597.500000,600.000000,577.224243,4150200
2020-01-30,600.000000,600.000000,592.500000,597.500000,574.819153,3264800
2020-01-31,597.500000,605.000000,582.500000,597.500000,574.819153,7591400
2020-02-03,575.000000,602.500000,570.000000,600.000000,577.224243,4248600
2020-02-04,600.000000,605.000000,595.000000,600.000000,577.224243,1630800
2020-02-05,622.500000,622.500000,587.500000,600.000000,577.224243,7650200
2020-02-06,600.000000,605.000000,597.500000,600.000000,577.224243,7811400
2020-02-07,600.000000,610.000000,597.500000,605.000000,582.034424,6571000
2020-02-10,607.500000,615.000000,595.000000,597.500000,574.819153,4251200
2020-02-11,600.000000,615.000000,600.000000,615.000000,591.654846,6089600
2020-02-12,612.500000,622.500000,605.000000,620.000000,596.465027,3579600
2020-02-13,625.000000,630.000000,610.000000,620.000000,596.465027,9617000
2020-02-14,620.000000,625.000000,610.000000,622.500000,598.870178,8863800
2020-02-17,622.500000,625.000000,615.000000,615.000000,591.654846,1470800
2020-02-18,615.000000,632.500000,615.000000,630.000000,606.085449,7095600
2020-02-19,632.500000,642.500000,630.000000,640.000000,615.705872,13280600
2020-02-20,642.500000,655.000000,640.000000,650.000000,625.326233,10784400
2020-02-21,650.000000,657.500000,630.000000,637.500000,613.300781,13514000
2020-02-24,637.500000,637.500000,620.000000,632.500000,608.490601,10492400
2020-02-25,630.000000,637.500000,615.000000,637.500000,613.300781,6255600
2020-02-26,640.000000,640.000000,615.000000,615.000000,591.654846,14164200
2020-02-27,615.000000,627.500000,602.500000,615.000000,591.654846,16593800
2020-02-28,615.000000,615.000000,575.000000,615.000000,591.654846,16518200
2020-03-02,615.000000,622.500000,585.000000,595.000000,572.414063,9967400
2020-03-03,607.500000,612.500000,600.000000,610.000000,586.844666,12321200
2020-03-04,610.000000,635.000000,610.000000,630.000000,606.085449,11213000
2020-03-05,635.000000,637.500000,622.500000,630.000000,606.085449,8638600
2020-03-06,627.500000,630.000000,615.000000,620.000000,596.465027,5768200
2020-03-09,620.000000,620.000000,585.000000,602.500000,579.629395,9127000
2020-03-10,602.500000,632.500000,595.000000,630.000000,606.085449,16993200
2020-03-11,630.000000,642.500000,617.500000,632.500000,608.490601,12015600
2020-03-12,632.500000,632.500000,605.000000,610.000000,586.844666,8429400
2020-03-13,600.000000,625.000000,567.500000,620.000000,596.465027,10183400
2020-03-16,620.000000,620.000000,577.500000,577.500000,555.578308,12118400
2020-03-17,577.500000,582.500000,560.000000,565.000000,543.552856,4833800
2020-03-18,565.000000,575.000000,527.500000,527.500000,507.476318,7974000
2020-03-19,527.500000,527.500000,492.500000,492.500000,473.804901,14815400
2020-03-20,492.500000,500.000000,460.000000,485.000000,466.589600,15152200
2020-03-23,485.000000,485.000000,452.500000,475.000000,456.969208,9062400
2020-03-24,472.500000,542.500000,455.000000,470.000000,452.158997,25635200
2020-03-26,475.000000,505.000000,475.000000,497.500000,478.615082,29915400
2020-03-27,497.500000,540.000000,497.500000,515.000000,495.450836,12953600
2020-03-30,507.500000,527.500000,485.000000,522.500000,502.666107,3614000
2020-03-31,535.000000,650.000000,525.000000,585.000000,562.793640,31775400
2020-04-01,580.000000,597.500000,552.500000,552.500000,531.527344,8264800
2020-04-02,545.000000,590.000000,545.000000,585.000000,562.793640,11287400
2020-04-03,585.000000,710.000000,585.000000,620.000000,596.465027,31115000
2020-04-06,630.000000,662.500000,622.500000,652.500000,627.731384,22498200
2020-04-07,660.000000,660.000000,615.000000,622.500000,598.870178,19785400
2020-04-08,627.500000,627.500000,592.500000,610.000000,586.844666,17828000
2020-04-09,610.000000,630.000000,607.500000,617.500000,594.059998,6363200
2020-04-13,620.000000,625.000000,610.000000,617.500000,594.059998,2277000
2020-04-14,617.500000,627.500000,607.500000,622.500000,598.870178,10863400
