Date,Open,High,Low,Close,Adj Close,Volume
2020-07-13,9325.000000,9350.000000,9225.000000,9250.000000,9038.430664,4046700
2020-07-14,9400.000000,9450.000000,9250.000000,9450.000000,9233.856445,4863900
2020-07-15,9450.000000,9500.000000,9425.000000,9450.000000,9233.856445,5436400
2020-07-16,9500.000000,9650.000000,9450.000000,9575.000000,9355.997070,12667900
2020-07-17,9650.000000,9650.000000,9125.000000,9275.000000,9062.859375,18966400
2020-07-20,9350.000000,9425.000000,9225.000000,9325.000000,9111.715820,13802800
2020-07-21,9325.000000,9425.000000,9325.000000,9325.000000,9111.715820,7936100
2020-07-22,9375.000000,9425.000000,9325.000000,9375.000000,9160.572266,5859000
2020-07-23,9375.000000,9475.000000,9375.000000,9400.000000,9185.000000,9044800
2020-07-24,9300.000000,9325.000000,9175.000000,9175.000000,9175.000000,9935000
2020-07-27,9200.000000,9300.000000,9000.000000,9000.000000,9000.000000,12846800
2020-07-28,9075.000000,9150.000000,9000.000000,9050.000000,9050.000000,9219900
2020-07-29,9075.000000,9125.000000,9050.000000,9125.000000,9125.000000,6255400
2020-07-30,9125.000000,9200.000000,9075.000000,9200.000000,9200.000000,8499300
2020-08-03,9200.000000,9400.000000,9075.000000,9300.000000,9300.000000,20483300
2020-08-04,9425.000000,10425.000000,9200.000000,10025.000000,10025.000000,45798800
2020-08-05,10000.000000,10625.000000,9925.000000,10550.000000,10550.000000,25765000
2020-08-06,10575.000000,10600.000000,10325.000000,10325.000000,10325.000000,11910700
2020-08-07,10325.000000,10375.000000,10075.000000,10175.000000,10175.000000,11490600
2020-08-10,10200.000000,10250.000000,10050.000000,10175.000000,10175.000000,8662600
2020-08-11,10175.000000,10350.000000,10125.000000,10200.000000,10200.000000,8829900
2020-08-12,10225.000000,10300.000000,10125.000000,10150.000000,10150.000000,7687000
2020-08-13,10150.000000,10275.000000,10150.000000,10250.000000,10250.000000,8840200
2020-08-14,10250.000000,10300.000000,10125.000000,10175.000000,10175.000000,6382600
2020-08-18,10200.000000,10275.000000,10125.000000,10200.000000,10200.000000,6105900
2020-08-19,10200.000000,10275.000000,10100.000000,10100.000000,10100.000000,5372500
2020-08-24,10150.000000,10275.000000,10150.000000,10225.000000,10225.000000,7070300
2020-08-25,10225.000000,10475.000000,10200.000000,10425.000000,10425.000000,8463700
2020-08-26,10425.000000,10500.000000,10325.000000,10350.000000,10350.000000,4974600
2020-08-27,10450.000000,10450.000000,10300.000000,10350.000000,10350.000000,3609200
2020-08-28,10400.000000,10400.000000,10250.000000,10325.000000,10325.000000,3591500
2020-08-31,10325.000000,10375.000000,10225.000000,10225.000000,10225.000000,6480900
2020-09-01,10175.000000,10250.000000,10125.000000,10225.000000,10225.000000,5985500
2020-09-02,10325.000000,10350.000000,10200.000000,10200.000000,10200.000000,6190400
2020-09-03,10200.000000,10350.000000,10200.000000,10225.000000,10225.000000,4452600
2020-09-04,10250.000000,10375.000000,10100.000000,10300.000000,10300.000000,6204400
2020-09-07,10275.000000,10325.000000,10250.000000,10325.000000,10325.000000,2898700
2020-09-08,10325.000000,10375.000000,10275.000000,10325.000000,10325.000000,8859000
2020-09-09,10300.000000,10450.000000,10250.000000,10275.000000,10275.000000,5255900
2020-09-10,10225.000000,10225.000000,9600.000000,9975.000000,9975.000000,14206300
2020-09-11,9900.000000,10500.000000,9725.000000,10250.000000,10250.000000,12182000
2020-09-14,10400.000000,10600.000000,10375.000000,10550.000000,10550.000000,6768500
2020-09-15,10575.000000,10600.000000,10375.000000,10400.000000,10400.000000,3665900
2020-09-16,10500.000000,10550.000000,10350.000000,10450.000000,10450.000000,3624200
2020-09-17,10450.000000,10475.000000,10050.000000,10200.000000,10200.000000,4053600
2020-09-18,10200.000000,10275.000000,10150.000000,10175.000000,10175.000000,4415000
2020-09-21,10175.000000,10275.000000,10000.000000,10150.000000,10150.000000,2745700
2020-09-22,10050.000000,10350.000000,9950.000000,10250.000000,10250.000000,5540400
2020-09-23,10350.000000,10375.000000,10150.000000,10350.000000,10350.000000,6495900
2020-09-24,10225.000000,10225.000000,10025.000000,10100.000000,10100.000000,5972900
2020-09-25,10200.000000,10250.000000,10050.000000,10050.000000,10050.000000,6329100
2020-09-28,10175.000000,10175.000000,10050.000000,10075.000000,10075.000000,3033500
2020-09-29,10175.000000,10175.000000,10050.000000,10150.000000,10150.000000,3448900
2020-09-30,10200.000000,10200.000000,10075.000000,10075.000000,10075.000000,3833100
2020-10-01,10075.000000,10175.000000,10075.000000,10150.000000,10150.000000,2693500
2020-10-02,10150.000000,10175.000000,10025.000000,10075.000000,10075.000000,2634300
2020-10-05,10075.000000,10175.000000,10050.000000,10100.000000,10100.000000,2439600
2020-10-06,10200.000000,10200.000000,10100.000000,10100.000000,10100.000000,2538900
2020-10-07,10150.000000,10150.000000,10000.000000,10000.000000,10000.000000,4764400
